"soc6","soc_code","title","auto_w","pv_w","da_w","tk_w","ag_w","n_tasks","n_core","occupation_category","eloundou_alpha","eloundou_beta","eloundou_gamma","webb_software","webb_robot","webb_ai","sml","felten","frey_osborne","routine_cognitive","routine_manual"
"512021","51-2021.00","Coil Winders, Tapers, and Finishers",0.361111111111111,0.409024270393137,0.656641313792389,1.01438241536018,0.502876483072035,11,7,"Production, Transportation & Material Moving",0.222222222222222,0.222222222222222,0.222222222222222,72,72,55,3.25773874069255,2.4832554,0.73,1.2618951,1.2518123
"519196","51-9196.00","Paper Goods Machine Setters, Operators, and Tenders",0.361111111111111,0.586209816405369,0.653271304249066,0.958333333333333,0.477975188366293,14,4,"Production, Transportation & Material Moving",0,0,0,75,67,77,3.31703723467331,2.886945,0.67,-0.08393335,2.3923836
"472073","47-2073.00","Operating Engineers and Other Construction Equipment Operators",0.360795454545455,0.784696600669308,0.673615620375591,0.700847968209759,0.323292584867112,26,18,"Construction, Extraction & Maintenance",0.0434782608695652,0.0543478260869565,0.0652173913043478,99,100,83,2.97759953855268,3.4686747,0.95,-0.33375812,1.8018111
"534013","53-4013.00","Rail Yard Engineers, Dinkey Operators, and Hostlers",0.360119047619048,0.436602633362604,0.77958668302665,0.73277739117737,0.548465092998399,23,19,"Production, Transportation & Material Moving",0.204545454545455,0.204545454545455,0.204545454545455,100,97,100,3.07629043806548,4.0806594,0.91,0.26259753,1.1661565
"535022","53-5022.00","Motorboat Operators",0.359913793103448,0.771424839433091,0.648949780974586,0.636758284747232,0.340084029899188,16,13,"Production, Transportation & Material Moving",0,0,0,79,80,91,2.96455565142364,4.3671327,0.62,-1.16382,-0.1322005
"493041","49-3041.00","Farm Equipment Mechanics and Service Technicians",0.355769230769231,1.00068334434486,0.846837190498707,0.477469752398965,0.277196414661021,14,12,"Construction, Extraction & Maintenance",0.115384615384615,0.115384615384615,0.115384615384615,78,81,60,2.9410646967815,4.0765986,0.75,0.1820087,0.5755845
"472031","47-2031.00","Carpenters",0.355555555555556,0.798291045307917,0.632019199818281,0.637377344785321,0.323570226039552,29,16,"Construction, Extraction & Maintenance",0.0444444444444444,0.144444444444444,0.244444444444444,82,77,85,2.85017660896268,3.7377458,0.72,-0.152434005,0.90919013
"519124","51-9124.00","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.355555555555556,0.560355339059327,0.590631713883249,0.917061487843697,0.523767636628067,29,16,"Production, Transportation & Material Moving",0.0217391304347826,0.0434782608695652,0.0652173913043478,NA,NA,NA,NA,NA,NA,NA,NA
"514111","51-4111.00","Tool and Die Makers",0.35546875,1.03314563036812,0.728735739008219,0.436437195552179,0.50323604345604,17,15,"Production, Transportation & Material Moving",0.09375,0.1875,0.28125,59,67,52,3.09237093630133,3.4915924,0.84,-0.011403562,1.071485
"519083","51-9083.00","Ophthalmic Laboratory Technicians",0.35546875,0.483312195552179,0.609930217280199,0.88604854345604,0.709874695552179,18,14,"Production, Transportation & Material Moving",0,0.09375,0.1875,87,91,81,3.09277339396371,3.1837149,0.97,0.633304,1.7296797
"472141","47-2141.00","Painters, Construction and Maintenance",0.355357142857143,0.746069624773613,0.666526489278463,0.750507627227611,0.287447433479423,19,16,"Construction, Extraction & Maintenance",0.0571428571428571,0.0571428571428571,0.0571428571428571,84,80,54,2.99203332335628,2.6994348,0.75,-0.1967568,1.0624685
"518013","51-8013.04","Hydroelectric Plant Technicians",0.351190476190476,0.540645399552061,0.902719370532693,0.581290799104121,0.540645399552061,21,21,"Production, Transportation & Material Moving",0.0840336134453782,0.159663865546218,0.235294117647059,100,82,100,2.99353506846451,3.8348897,0.85,1.0040113,0.9723049
"514033","51-4033.00","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.350806451612903,0.52615032812193,0.736114311234291,0.835655809222255,0.529490760076551,18,13,"Production, Transportation & Material Moving",0.032258064516129,0.0645161290322581,0.0967741935483871,96,79,91,3.166310355854,3.4039261,0.95,0.7783636,2.0993516
"493042","49-3042.00","Mobile Heavy Equipment Mechanics, Except Engines",0.35,0.862944173824159,0.895710678118655,0.427588834764832,0.380177669529664,20,20,"Construction, Extraction & Maintenance",0.05,0.1,0.15,78,81,60,2.99093280337846,4.5108662,0.4,0.6574811,1.3149271
"499081","49-9081.00","Wind Turbine Service Technicians",0.349431818181818,0.634413944599388,1.16655516192605,0.484333185722269,0.282141217326661,12,10,"Construction, Extraction & Maintenance",0,0.0434782608695652,0.0869565217391304,91,84,57,3.08907426962337,4.0980177,NA,0.31095022,0.8100104
"516011","51-6011.00","Laundry and Dry-Cleaning Workers",0.348790322580645,0.457196678672783,0.550630440266549,1.21192076284719,0.372924521670317,23,8,"Production, Transportation & Material Moving",0.025,0.05,0.075,66,80,63,3.1959566794023,2.2247977,0.71,0.4318327,1.9100075
