soc_code,title,n_software
31-9095.00,Pharmacy Aides,9
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,13
31-9097.00,Phlebotomists,14
31-9099.01,Speech-Language Pathology Assistants,19
31-9099.02,Endoscopy Technicians,8
33-1011.00,First-Line Supervisors of Correctional Officers,10
33-1012.00,First-Line Supervisors of Police and Detectives,24
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,25
33-1091.00,First-Line Supervisors of Security Workers,11
33-2011.00,Firefighters,17
33-2021.00,Fire Inspectors and Investigators,13
33-2022.00,Forest Fire Inspectors and Prevention Specialists,28
33-3011.00,Bailiffs,18
33-3012.00,Correctional Officers and Jailers,14
33-3021.00,Detectives and Criminal Investigators,38
33-3021.02,Police Identification and Records Officers,26
33-3021.06,Intelligence Analysts,84
33-3031.00,Fish and Game Wardens,13
33-3041.00,Parking Enforcement Workers,14
33-3051.00,Police and Sheriff's Patrol Officers,28
33-3051.04,Customs and Border Protection Officers,12
33-3052.00,Transit and Railroad Police,14
33-9011.00,Animal Control Workers,22
33-9021.00,Private Detectives and Investigators,14
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,8
33-9032.00,Security Guards,11
33-9091.00,Crossing Guards and Flaggers,3
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",6
33-9093.00,Transportation Security Screeners,12
33-9094.00,School Bus Monitors,2
33-9099.02,Retail Loss Prevention Specialists,15
35-1011.00,Chefs and Head Cooks,25
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,35
35-2011.00,"Cooks, Fast Food",8
35-2012.00,"Cooks, Institution and Cafeteria",9
35-2013.00,"Cooks, Private Household",10
35-2014.00,"Cooks, Restaurant",10
35-2015.00,"Cooks, Short Order",6
35-2021.00,Food Preparation Workers,15
35-3011.00,Bartenders,12
35-3023.00,Fast Food and Counter Workers,17
35-3023.01,Baristas,5
35-3031.00,Waiters and Waitresses,11
35-3041.00,"Food Servers, Nonrestaurant",8
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,6
35-9021.00,Dishwashers,2
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",11
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,17
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",9
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",7
37-2012.00,Maids and Housekeeping Cleaners,9
37-2021.00,Pest Control Workers,12
37-3011.00,Landscaping and Groundskeeping Workers,6
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",10
37-3013.00,Tree Trimmers and Pruners,4
39-1013.00,First-Line Supervisors of Gambling Services Workers,9
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",10
39-1022.00,First-Line Supervisors of Personal Service Workers,10
39-2011.00,Animal Trainers,17
39-2021.00,Animal Caretakers,17
39-3011.00,Gambling Dealers,6
39-3012.00,Gambling and Sports Book Writers and Runners,7
39-3021.00,Motion Picture Projectionists,12
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",8
39-3091.00,Amusement and Recreation Attendants,10
39-3092.00,Costume Attendants,7
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",9
39-4011.00,Embalmers,10
39-4012.00,Crematory Operators,5
39-4021.00,Funeral Attendants,5
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",16
39-5011.00,Barbers,11
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",10
39-5091.00,"Makeup Artists, Theatrical and Performance",21
39-5092.00,Manicurists and Pedicurists,9
39-5093.00,Shampooers,5
39-5094.00,Skincare Specialists,6
39-6011.00,Baggage Porters and Bellhops,5
39-6012.00,Concierges,13
39-7011.00,Tour Guides and Escorts,22
39-7012.00,Travel Guides,16
39-9011.00,Childcare Workers,10
39-9011.01,Nannies,5
39-9031.00,Exercise Trainers and Group Fitness Instructors,22
39-9032.00,Recreation Workers,18
39-9041.00,Residential Advisors,12
41-1011.00,First-Line Supervisors of Retail Sales Workers,110
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,29
41-2011.00,Cashiers,14
41-2012.00,Gambling Change Persons and Booth Cashiers,4
41-2021.00,Counter and Rental Clerks,10
41-2022.00,Parts Salespersons,13
41-2031.00,Retail Salespersons,79
41-3011.00,Advertising Sales Agents,24
41-3021.00,Insurance Sales Agents,67
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",73
41-3041.00,Travel Agents,30
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",14
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",67
41-4011.07,Solar Sales Representatives and Assessors,18
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",141
41-9011.00,Demonstrators and Product Promoters,15
41-9012.00,Models,13
41-9021.00,Real Estate Brokers,34
41-9022.00,Real Estate Sales Agents,98
41-9031.00,Sales Engineers,97
41-9041.00,Telemarketers,15
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",6
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,89
43-2011.00,"Switchboard Operators, Including Answering Service",11
43-2021.00,Telephone Operators,11
43-3011.00,Bill and Account Collectors,44
43-3021.00,Billing and Posting Clerks,59
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",121
43-3041.00,Gambling Cage Workers,7
43-3051.00,Payroll and Timekeeping Clerks,67
43-3061.00,Procurement Clerks,23
